"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"SHANTIGEAR","Shanthi Gears Limited","EQ"," Interim Dividend - Rs 1.50 Per Share","1","22-Feb-2021","23-Feb-2021","-","-"
"GOLDIAM","Goldiam International Limited","EQ"," Interim Dividend - Rs 2 Per Share","2","22-Feb-2021","23-Feb-2021","-","-"
"AUROPHARMA","Aurobindo Pharma Limited","EQ"," Interim Dividend - Rs 1.50 Per Share","1","22-Feb-2021","23-Feb-2021","-","-"
"NHPC","NHPC Limited","EQ"," Interim Dividend - Rs 1.25 Per Share","10","22-Feb-2021","23-Feb-2021","-","-"
"OIL","Oil India Limited","EQ"," Interim Dividend - Rs 3.50 Per Share","10","23-Feb-2021","24-Feb-2021","-","-"
"COCHINSHIP","Cochin Shipyard Limited","EQ"," Interim Dividend - Rs 4 Per Share","10","23-Feb-2021","24-Feb-2021","-","-"
"IRCON","Ircon International Limited","EQ"," Interim Dividend - Rs 1.30 Per Share","2","23-Feb-2021","24-Feb-2021","-","-"
"NIITLTD","NIIT Limited","EQ"," Buy Back","2","23-Feb-2021","24-Feb-2021","-","-"
"PRECWIRE","Precision Wires India Limited","EQ"," Interim Dividend - Rs 2 Per Share","1","23-Feb-2021","24-Feb-2021","-","-"
"ARVINDFASN","Arvind Fashions Limited","EQ"," Rights 3:20 @ Premium Rs 131/-","4","23-Feb-2021","24-Feb-2021","-","-"
"SJVN","SJVN Limited","EQ"," Interim Dividend - Rs 1.80 Per Share","10","23-Feb-2021","24-Feb-2021","-","-"
"ZUARIIND","ZUARI INDUSTRIES LIMITED","EQ"," Interim Dividend - Re 1 Per Share","10","23-Feb-2021","24-Feb-2021","-","-"
"UNIDT","United Drilling Tools Limited","EQ"," Interim Dividend - Rs 0.90 Per Share","10","23-Feb-2021","24-Feb-2021","-","-"
"KBCGLOBAL","KBC Global Limited","EQ"," Interim Dividend - Rs 0.05 Per Share","1","24-Feb-2021","25-Feb-2021","-","-"
